2018-11-29 10:24:41,031 [Worker-72] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for lavaFAQ
2018-11-29 10:24:41,063 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-29 11:16:29,501 [Worker-81] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-29 11:16:29,519 [Worker-81] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2018-11-29 11:16:29,522 [Worker-81] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2018-11-29 11:16:29,540 [Worker-81] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-29 11:16:29,542 [Worker-81] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\MyEclipseWorkSpace\bishe\lavaFAQ\src\test\resources
2018-11-29 14:12:18,287 [main] INFO  c.g.e.m.h.c.ui.Html5AppCoreUIPlugin - Pluging started
2018-11-29 14:12:40,407 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.commons:commons-lang3:jar:3.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-11-29 14:12:40,423 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.oracle:ojdbc6:jar:11.2.0.1.0 is missing, no dependency information available
2018-11-29 14:12:40,439 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.lava:lavaFAQ:0.0.1-SNAPSHOT @ E:\MyEclipseWorkSpace\bishe\lavaFAQ\pom.xml.
2018-11-29 14:12:40,657 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.commons:commons-lang3:jar:3.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-11-29 14:12:40,657 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.oracle:ojdbc6:jar:11.2.0.1.0 is missing, no dependency information available
2018-11-29 14:12:42,546 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.commons:commons-lang3:jar:3.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-11-29 14:12:42,546 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.oracle:ojdbc6:jar:11.2.0.1.0 is missing, no dependency information available
2018-11-29 14:13:15,816 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-29 14:13:15,816 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2018-11-29 14:13:15,832 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2018-11-29 14:13:15,832 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-29 14:13:15,832 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\MyEclipseWorkSpace\bishe\lavaFAQ\src\test\resources
2018-11-29 14:17:40,624 [main] INFO  c.g.e.m.h.c.ui.Html5AppCoreUIPlugin - Pluging started
2018-11-29 14:19:42,288 [main] INFO  c.g.e.m.h.c.ui.Html5AppCoreUIPlugin - Pluging started
2018-11-29 14:24:41,111 [main] INFO  c.g.e.m.h.c.ui.Html5AppCoreUIPlugin - Pluging started
2018-11-29 14:35:08,370 [main] INFO  c.g.e.m.h.c.ui.Html5AppCoreUIPlugin - Pluging started
2018-11-29 15:12:49,996 [main] INFO  c.g.e.m.h.c.ui.Html5AppCoreUIPlugin - Pluging started
2018-11-29 15:24:48,695 [main] INFO  c.g.e.m.h.c.ui.Html5AppCoreUIPlugin - Pluging started
2018-11-29 15:32:35,689 [main] INFO  c.g.e.m.h.c.ui.Html5AppCoreUIPlugin - Pluging started
2018-11-29 15:42:18,873 [main] INFO  c.g.e.m.h.c.ui.Html5AppCoreUIPlugin - Pluging started
2018-11-29 15:50:08,652 [main] INFO  c.g.e.m.h.c.ui.Html5AppCoreUIPlugin - Pluging started
2018-11-29 15:54:38,086 [main] INFO  c.g.e.m.h.c.ui.Html5AppCoreUIPlugin - Pluging started
2018-11-29 16:30:57,879 [main] INFO  org.eclipse.jetty.server.Server - jetty-8.1.10.v20130312
2018-11-29 16:30:58,141 [main] INFO  o.e.jetty.server.AbstractConnector - Started SelectChannelConnector@0.0.0.0:53897
2018-11-29 16:33:46,971 [main] INFO  o.e.j.server.handler.ContextHandler - stopped o.e.j.s.ServletContextHandler{/wse,null}
2018-11-29 16:36:08,929 [main] INFO  c.g.e.m.h.c.ui.Html5AppCoreUIPlugin - Pluging started
2018-11-29 16:44:41,868 [main] INFO  c.g.e.m.h.c.ui.Html5AppCoreUIPlugin - Pluging started
2018-11-29 16:49:22,673 [main] INFO  c.g.e.m.h.c.ui.Html5AppCoreUIPlugin - Pluging started
2018-11-29 16:51:02,000 [main] INFO  c.g.e.m.h.c.ui.Html5AppCoreUIPlugin - Pluging started
2018-11-29 16:53:09,174 [main] INFO  c.g.e.m.h.c.ui.Html5AppCoreUIPlugin - Pluging started
2018-11-29 16:56:46,708 [main] INFO  c.g.e.m.h.c.ui.Html5AppCoreUIPlugin - Pluging started
2018-11-29 17:01:39,785 [main] INFO  c.g.e.m.h.c.ui.Html5AppCoreUIPlugin - Pluging started
